article,wikipedia-url,wikidata-id,OSM-tag
Iowa,http://en.wikipedia.org/wiki/Iowa,1546,state
"Sacramento, California",http://en.wikipedia.org/wiki/Sacramento%2C_California,18013,city
"Columbus, Ohio",http://en.wikipedia.org/wiki/Columbus%2C_Ohio,16567,city
Lotus Temple,http://en.wikipedia.org/wiki/Lotus_Temple,940843,place_of_worship
British Isles,http://en.wikipedia.org/wiki/British_Isles,38272,island
Tamil Nadu,http://en.wikipedia.org/wiki/Tamil_Nadu,1445,state
Matterhorn,http://en.wikipedia.org/wiki/Matterhorn,1374,peak
Miami International Airport,http://en.wikipedia.org/wiki/Miami_International_Airport,127530,aerodrome
Canberra,http://en.wikipedia.org/wiki/Canberra,3114,city
Delaware,http://en.wikipedia.org/wiki/Delaware,1393,state
"Five Points, Manhattan",http://en.wikipedia.org/wiki/Five_Points%2C_Manhattan,1144561,neighbourhood
O'Hare International Airport,http://en.wikipedia.org/wiki/O%27Hare_International_Airport,213717,aerodrome
"Williamsburg, Brooklyn",http://en.wikipedia.org/wiki/Williamsburg%2C_Brooklyn,771572,neighbourhood
"Providence, Rhode Island",http://en.wikipedia.org/wiki/Providence%2C_Rhode_Island,18383,city
Catalonia,http://en.wikipedia.org/wiki/Catalonia,5705,state
"Washington, D.C.",http://en.wikipedia.org/wiki/Washington%2C_D.C.,61,region
"University of California, Irvine",http://en.wikipedia.org/wiki/University_of_California%2C_Irvine,868421,university
Himalayas,http://en.wikipedia.org/wiki/Himalayas,5451,ridge
San Fernando Valley,http://en.wikipedia.org/wiki/San_Fernando_Valley,816843,region
"Oakland, California",http://en.wikipedia.org/wiki/Oakland%2C_California,17042,city
Love Canal,http://en.wikipedia.org/wiki/Love_Canal,1872409,neighbourhood
King's College London,http://en.wikipedia.org/wiki/King%27s_College_London,245247,university
Cleveland,http://en.wikipedia.org/wiki/Cleveland,37320,city
Southampton,http://en.wikipedia.org/wiki/Southampton,79848,city
"Cambridge, Massachusetts",http://en.wikipedia.org/wiki/Cambridge%2C_Massachusetts,49111,city
Lawrence Berkeley National Laboratory,http://en.wikipedia.org/wiki/Lawrence_Berkeley_National_Laboratory,1133630,research
Indore,http://en.wikipedia.org/wiki/Indore,66616,city
Majorca,http://en.wikipedia.org/wiki/Majorca,8828,island
Pennsylvania Station (New York City),http://en.wikipedia.org/wiki/Pennsylvania_Station_%28New_York_City%29,54451,station
"Lexington, Kentucky",http://en.wikipedia.org/wiki/Lexington%2C_Kentucky,49241,city
Levi's Stadium,http://en.wikipedia.org/wiki/Levi%27s_Stadium,7419343,stadium
"Arlington County, Virginia",http://en.wikipedia.org/wiki/Arlington_County%2C_Virginia,107126,county
Texas A&M University,http://en.wikipedia.org/wiki/Texas_A%26M_University,49212,university
Biltmore Estate,http://en.wikipedia.org/wiki/Biltmore_Estate,585521,attraction
San Francisco Bay Area,http://en.wikipedia.org/wiki/San_Francisco_Bay_Area,213205,region
Buckinghamshire,http://en.wikipedia.org/wiki/Buckinghamshire,23229,county
Chicago metropolitan area,http://en.wikipedia.org/wiki/Chicago_metropolitan_area,1754965,region
Graceland,http://en.wikipedia.org/wiki/Graceland,545360,attraction
Chrysler Building,http://en.wikipedia.org/wiki/Chrysler_Building,11274,attraction
Oahu,http://en.wikipedia.org/wiki/Oahu,131347,island
West Bengal,http://en.wikipedia.org/wiki/West_Bengal,1356,state
"Palo Alto, California",http://en.wikipedia.org/wiki/Palo_Alto%2C_California,47265,city
University of Illinois at Urbana–Champaign,http://en.wikipedia.org/wiki/University_of_Illinois_at_Urbana%E2%80%93Champaign,457281,university
Michigan Stadium,http://en.wikipedia.org/wiki/Michigan_Stadium,1640118,stadium
Westminster Abbey,http://en.wikipedia.org/wiki/Westminster_Abbey,5933,place_of_worship
Playboy Mansion,http://en.wikipedia.org/wiki/Playboy_Mansion,1783719,attraction
Ohio,http://en.wikipedia.org/wiki/Ohio,1397,state
Mayo Clinic,http://en.wikipedia.org/wiki/Mayo_Clinic,1130172,hospital
